ID,Age,Gender,Education_Level,Field_of_Study,GPA,Years_of_Experience,Current_Job_Title,Annual_Salary_USD,Job_Satisfaction,Promotions_Received,Certifications_Count
1,29,Male,Master,Engineering,3.4,3,Graphic Designer,76832,4,0,4
2,49,Male,High School,Engineering,3.46,7,Financial Analyst,58239,4,1,5
3,56,Female,Bachelor,Mathematics,3.11,17,Software Engineer,97247,10,1,5
4,49,Female,Bachelor,Engineering,3.83,24,Marketing Specialist,87853,4,3,0
5,44,Female,Master,Computer Science,3.01,23,HR Manager,120966,4,3,0
6,57,Female,PhD,Mathematics,3.01,23,Instructional Designer,114710,9,0,0
7,36,Female,PhD,Engineering,3.3,3,Mechanical Engineer,80140,7,1,1
8,45,Female,Bachelor,Education,2.51,22,Data Analyst,101622,9,1,4
9,37,Male,Bachelor,Education,2.79,7,Marketing Specialist,75653,10,0,1
10,24,Female,Bachelor,Business,2.84,1,Instructional Designer,50732,9,0,1
11,53,Female,PhD,Psychology,3.79,9,Research Scientist,95436,5,4,4
12,38,Other,Master,Mathematics,3.23,12,Marketing Specialist,80264,5,4,3
13,27,Male,PhD,Arts,2.98,5,Graphic Designer,98664,9,1,4
14,26,Female,Bachelor,Psychology,2.74,4,Research Scientist,68830,8,0,5
15,29,Other,PhD,Education,2.96,5,Data Analyst,91546,7,0,3
16,22,Other,PhD,Education,2.96,0,Financial Analyst,94261,4,0,5
17,54,Other,Associate,Biology,3.19,10,Financial Analyst,64231,10,4,0
18,60,Female,Bachelor,Business,3.53,23,Research Scientist,83165,4,1,4
19,27,Male,Master,Business,3.28,6,Financial Analyst,75609,5,1,5
20,52,Other,Associate,Economics,2.67,27,Product Manager,119338,8,5,5
21,34,Other,Bachelor,Biology,3.5,7,Financial Analyst,69324,4,1,1
22,26,Female,High School,Economics,3.15,1,Instructional Designer,34945,4,0,5
23,25,Male,High School,Computer Science,2.61,2,Data Analyst,35504,5,1,5
24,53,Male,Master,Mathematics,3.02,30,Product Manager,153465,7,3,1
25,28,Male,Master,Biology,3.34,6,Mechanical Engineer,72920,10,0,5
26,28,Male,Bachelor,Biology,3.33,1,Product Manager,54466,5,0,1
27,49,Male,Bachelor,Engineering,2.93,27,Data Analyst,109547,10,4,0
28,25,Other,PhD,Computer Science,3.61,0,Product Manager,89656,7,0,3
29,35,Female,PhD,Arts,2.86,6,Software Engineer,94247,6,3,2
30,49,Other,PhD,Economics,3.33,21,HR Manager,117534,5,2,1
31,25,Other,Master,Computer Science,3.01,2,Software Engineer,71275,8,1,4
32,55,Male,High School,Economics,2.76,5,Graphic Designer,34718,8,0,5
33,37,Female,Associate,Mathematics,3.53,7,Instructional Designer,62300,4,0,3
34,59,Other,Master,Education,3.17,13,Marketing Specialist,94361,6,3,1
35,41,Female,Bachelor,Business,3.34,0,HR Manager,51774,8,0,0
36,56,Male,Master,Arts,3.34,22,Data Analyst,139290,5,2,2
37,32,Female,PhD,Education,3.19,9,Financial Analyst,101967,9,4,2
38,28,Male,Bachelor,Business,2.15,2,Research Scientist,62263,8,0,5
39,43,Male,Master,Education,3.23,16,HR Manager,92728,10,0,0
40,49,Female,High School,Biology,3.24,24,Graphic Designer,80358,6,1,5
41,50,Other,Master,Economics,3.11,0,Data Analyst,71785,9,0,4
42,24,Female,Master,Arts,3.79,3,Graphic Designer,70663,6,1,0
43,44,Male,Master,Business,2.88,11,Financial Analyst,98401,10,3,4
44,31,Male,PhD,Arts,3.57,6,Software Engineer,94845,9,2,3
45,37,Female,Associate,Business,2.99,12,Software Engineer,75662,7,1,1
46,51,Female,Bachelor,Engineering,3.24,7,Software Engineer,76300,5,3,2
47,39,Male,PhD,Education,2.92,11,Financial Analyst,103359,9,4,2
48,23,Male,PhD,Education,3.04,0,Instructional Designer,77682,6,0,0
49,60,Female,Bachelor,Biology,3.32,27,Instructional Designer,111574,4,3,4
50,34,Female,High School,Physics,3.2,0,Financial Analyst,33827,10,0,2
51,49,Male,PhD,Biology,2.63,19,Marketing Specialist,127698,10,0,5
52,41,Other,Bachelor,Physics,3.06,10,Mechanical Engineer,75258,6,4,1
53,34,Female,Master,Physics,3.14,10,Graphic Designer,94620,8,2,3
54,57,Male,Bachelor,Engineering,3.95,27,Instructional Designer,116406,9,2,3
55,50,Female,Master,Economics,3.3,15,Graphic Designer,104862,4,2,4
56,43,Male,PhD,Engineering,2.43,21,Research Scientist,115527,10,1,1
57,23,Male,Bachelor,Psychology,3.22,2,Data Analyst,71180,7,0,5
58,46,Female,Bachelor,Arts,3.12,20,Software Engineer,113067,10,0,3
59,36,Male,PhD,Economics,3.19,14,Software Engineer,109130,5,0,3
60,30,Female,Master,Economics,3.66,9,Marketing Specialist,100264,10,3,4
